,Unnamed: 0,travel_time,itinerary,price,airlines,provider
138,138,1405.0,AY4029||AA1506|AA6137,697.42,AA|AY,Alternate
139,139,1390.0,AY5509||AA1506|AA6137,697.42,AA|AY,Alternate
140,140,2395.0,AZ0209|AZ0630||AZ0631|AZ0204,701.64,AZ,Alternate
141,141,1485.0,AY4029||AA2567|AA0020,702.92,AA|AY,Alternate
142,142,1470.0,AY5509||AA2567|AA0020,702.92,AA|AY,Alternate
143,143,1350.0,AY5509||AA1276|AA0020,702.92,AA|AY,Alternate
144,144,1431.0,AY4029||AA2550|AA0080,702.92,AA|AY,Alternate
145,145,1365.0,AY4029||AA1276|AA0020,702.92,AA|AY,Alternate
146,146,2063.0,UA0879|UA2146||UA0600|UA0110,707.42,UA,Alternate
147,147,1471.0,AA0039||AA1221|AA6236,713.92,AA,Alternate
148,148,1456.0,AA6124||AA1221|AA6236,713.92,AA,Alternate
149,149,1456.0,AA6162||AA1221|AA6236,713.92,AA,Alternate
150,150,1431.0,IB4228||IB4236|IB4206,723.92,IB,Alternate
151,151,1416.0,IB7399||IB4236|IB4206,723.92,IB,Alternate
152,152,1416.0,IB7328||IB4236|IB4206,723.92,IB,Alternate
153,153,1416.0,BA0211||IB4236|IB4206,723.92,BA|IB,Alternate
154,154,1416.0,BA0209||IB4236|IB4206,723.92,BA|IB,Alternate
